molecule_chembl_id,smiles,IC50 value
CHEMBL2315278,O=C(Cc1n[nH]c(=O)c2ccccc12)Nc1ccc(Cl)c(C(F)(F)F)c1,61
CHEMBL2315277,Cn1nc(CC(=O)Nc2ccc3ccccc3c2)c2ccccc2c1=O,140
CHEMBL2315271,Cn1nc(CC(=O)Nc2ccc(Br)cc2F)c2ccccc2c1=O,1700
CHEMBL2315268,Cn1nc(CC(=O)Nc2ccc(C#N)c(C#N)c2)c2ccccc2c1=O,2500
CHEMBL2315267,COc1cc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)ccc1Cl,40
CHEMBL2315266,Cc1cc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)ccc1C#N,460
CHEMBL2315265,Cc1cc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)ccc1Br,140
CHEMBL2315264,Cc1cc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)ccc1Cl,96
CHEMBL2315263,Cn1nc(CC(=O)Nc2ccc(Cl)c(F)c2)c2ccccc2c1=O,240
CHEMBL2315260,Cn1nc(CC(=O)Nc2ccc(F)c(C(F)(F)F)c2)c2ccccc2c1=O,150
CHEMBL2315259,Cn1nc(CC(=O)Nc2ccc(C#N)c(Cl)c2)c2ccccc2c1=O,470
CHEMBL2315258,Cn1nc(CC(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)c2ccccc2c1=O,52
CHEMBL2315257,Cn1nc(CC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)c2ccccc2c1=O,25
CHEMBL2314992,Cn1nc(CC(=O)Nc2ccc(Br)c(C(F)(F)F)c2)c2ccccc2c1=O,48
CHEMBL2314991,Cn1nc(CC(=O)Nc2ccc(Br)c(Cl)c2)c2ccccc2c1=O,75
CHEMBL2314990,Cn1nc(CC(=O)Nc2ccc(Cl)c(Cl)c2)c2ccccc2c1=O,95
CHEMBL2314985,Cn1nc(CC(=O)Nc2ccc(C#N)cc2)c2ccccc2c1=O,940
CHEMBL500225,Cn1nc(CC(=O)Nc2ccc(Br)cc2)c2ccccc2c1=O,130
CHEMBL2314983,Cn1nc(CC(=O)Nc2ccc(Cl)cc2)c2ccccc2c1=O,280
CHEMBL2314975,COc1ccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)cc1,930
CHEMBL2315287,CCn1c2ccccc2c2cc(NC(=O)Cc3nn(C)c(=O)c4ccccc34)ccc21,5000
CHEMBL2315286,Cn1nc(CC(=O)Nc2ccc3[nH]c4ccccc4c3c2)c2ccccc2c1=O,5000
CHEMBL2315285,Cn1nc(CC(=O)Nc2ccc3c(c2)oc2ccccc23)c2ccccc2c1=O,5000
CHEMBL2315281,Cn1nc(CC(=O)Nc2ccc3ocnc3c2)c2ccccc2c1=O,5000
CHEMBL2315276,Cn1nc(CC(=O)Nc2cc(F)c(F)c(F)c2)c2ccccc2c1=O,5000
CHEMBL2315275,Cn1nc(CC(=O)Nc2cc(Cl)c(Cl)c(Cl)c2)c2ccccc2c1=O,5000
CHEMBL2315274,Cn1nc(CC(=O)Nc2cc(Cl)cc(Cl)c2)c2ccccc2c1=O,5000
CHEMBL2315273,Cn1nc(CC(=O)Nc2ccc(Cl)cc2Cl)c2ccccc2c1=O,5000
CHEMBL2315272,Cn1nc(CC(=O)Nc2ccc(Br)cc2Br)c2ccccc2c1=O,5000
CHEMBL2315270,Cn1nc(CC(=O)Nc2ccc(Br)cc2C(F)(F)F)c2ccccc2c1=O,5000
